Year,Portfolio 1 Balance
200801,"$9,108"
200807,"$8,743"
200901,"$4,915"
200907,"$8,177"
201001,"$8,857"
201007,"$9,106"
201101,"$11,646"
201107,"$11,339"
201201,"$9,938"
201207,"$9,486"
201301,"$10,655"
201307,"$10,838"
201401,"$10,992"
201407,"$12,757"
201501,"$12,580"
201507,"$12,151"
201601,"$10,500"
201607,"$12,799"
201701,"$13,739"
201707,"$15,953"
201801,"$17,329"
201807,"$16,952"
