Year,Month,Portfolio 1 Return,,
2008,1,2.93%,,
2008,7,0.72%,,
2009,1,-1.28%,,
2009,7,0.53%,,
2010,1,1.71%,,
2010,7,1.09%,,
2011,1,0.60%,,
2011,7,2.03%,,
2012,1,0.63%,,
2012,7,0.70%,,
2013,1,-0.39%,,
2013,7,0.25%,,
2014,1,1.28%,,
2014,7,-0.47%,,
2015,1,2.31%,,
2015,7,0.67%,,
2016,1,2.15%,,
2016,7,0.06%,,
2017,1,0.29%,,
2017,7,0.37%,,
2018,1,-1.22%,,
2018,7,-0.28%,,
