Start Date,01/01/2008
End Date,07/31/2018
Initial Balance,"$10,000"
Ticker,Name
VGK,Vanguard FTSE Europe ETF
Metric,Portfolio 1
Start Balance,"$10,000"
End Balance,"$11,918"
End Balance (inflation adjusted),"$9,934"
CAGR,1.67%
CAGR (inflation adjusted),-0.06%
Stdev,20.49%
Best Year,31.33%
Worst Year,-44.71%
Max. Drawdown,-57.31%
