Year,Portfolio 1 Balance
200801,"$8,258"
200807,"$7,594"
200901,"$4,511"
200907,"$7,725"
201001,"$7,510"
201007,"$8,285"
201101,"$8,837"
201107,"$9,107"
201201,"$8,137"
201207,"$7,584"
201301,"$9,187"
201307,"$8,343"
201401,"$8,887"
201407,"$10,088"
201501,"$10,062"
201507,"$10,132"
201601,"$8,359"
201607,"$9,459"
201701,"$10,289"
201707,"$12,924"
201801,"$16,384"
201807,"$14,071"
