Year,Month,Portfolio 1 Return
2008,1,-17.42%
2008,7,0.84%
2009,1,-11.95%
2009,7,11.33%
2010,1,-8.71%
2010,7,7.37%
2011,1,-0.10%
2011,7,-1.15%
2012,1,10.51%
2012,7,-1.08%
2013,1,2.56%
2013,7,5.48%
2014,1,-8.17%
2014,7,6.57%
2015,1,-0.48%
2015,7,-10.84%
2016,1,-12.76%
2016,7,3.13%
2017,1,7.26%
2017,7,8.40%
2018,1,12.61%
2018,7,-1.55%
