Start Date,01/01/2008
End Date,07/31/2018
Initial Balance,"$10,000"
Ticker,Name
BWX,SPDR Blmbg Barclays Intl Trs Bd ETF
Metric,Portfolio 1
Start Balance,"$10,000"
End Balance,"$11,967"
End Balance (inflation adjusted),"$9,975"
CAGR,1.71%
CAGR (inflation adjusted),-0.02%
Stdev,8.82%
Best Year,9.94%
Worst Year,-6.69%
Max. Drawdown,-15.08%
