Start Date,01/01/2008
End Date,07/31/2018
Initial Balance,"$10,000"
Ticker,Name
IEI,iShares 3-7 Year Treasury Bond ETF
Metric,Portfolio 1
Start Balance,"$10,000"
End Balance,"$13,535"
End Balance (inflation adjusted),"$11,281"
CAGR,2.90%
CAGR (inflation adjusted),1.15%
Stdev,3.59%
Best Year,12.79%
Worst Year,-1.84%
Max. Drawdown,-3.68%
