Year,Portfolio 1 Balance
200801,"$9,446"
200807,"$8,858"
200901,"$5,757"
200907,"$7,475"
201001,"$7,792"
201007,"$7,913"
201101,"$9,165"
201107,"$9,184"
201201,"$8,440"
201207,"$8,259"
201301,"$9,458"
201307,"$9,868"
201401,"$10,074"
201407,"$11,185"
201501,"$10,412"
201507,"$11,083"
201601,"$9,873"
201607,"$11,035"
201701,"$11,606"
201707,"$12,990"
201801,"$14,930"
201807,"$13,916"
