Year,Portfolio 1 Balance
200801,"$9,383"
200807,"$8,859"
200901,"$5,795"
200907,"$7,105"
201001,"$7,833"
201007,"$8,178"
201101,"$9,734"
201107,"$9,904"
201201,"$10,119"
201207,"$10,630"
201301,"$11,823"
201307,"$13,504"
201401,"$14,492"
201407,"$15,696"
201501,"$16,383"
201507,"$17,452"
201601,"$15,937"
201607,"$18,224"
201701,"$19,427"
201707,"$21,162"
201801,"$24,328"
201807,"$24,645"
