Year,Month,Portfolio 1 Return
2008,1,-6.17%
2008,7,-0.62%
2009,1,-8.05%
2009,7,7.74%
2010,1,-3.57%
2010,7,7.02%
2011,1,2.05%
2011,7,-2.27%
2012,1,5.07%
2012,7,0.88%
2013,1,5.42%
2013,7,5.75%
2014,1,-3.17%
2014,7,-1.99%
2015,1,-2.74%
2015,7,1.70%
2016,1,-5.72%
2016,7,3.98%
2017,1,1.86%
2017,7,1.88%
2018,1,5.23%
2018,7,3.32%
