Year,Month,Portfolio 1 Return,,
2008,1,-8.98%,,
2008,7,-2.88%,,
2009,1,-13.84%,,
2009,7,11.35%,,
2010,1,-6.27%,,
2010,7,14.18%,,
2011,1,3.69%,,
2011,7,-4.60%,,
2012,1,5.45%,,
2012,7,0.33%,,
2013,1,4.28%,,
2013,7,7.63%,,
2014,1,-4.57%,,
2014,7,-4.32%,,
2015,1,0.52%,,
2015,7,2.67%,,
2016,1,-5.55%,,
2016,7,3.47%,,
2017,1,2.96%,,
2017,7,2.83%,,
2018,1,5.63%,,
2018,7,3.40%,,
