Year,Month,Portfolio 1 Return
2008,1,-5.54%
2008,7,-3.94%
2009,1,-12.73%
2009,7,7.37%
2010,1,-1.85%
2010,7,7.55%
2011,1,-0.12%
2011,7,0.97%
2012,1,6.66%
2012,7,-0.90%
2013,1,3.11%
2013,7,1.86%
2014,1,-6.82%
2014,7,0.92%
2015,1,1.18%
2015,7,-0.54%
2016,1,-5.96%
2016,7,5.76%
2017,1,4.92%
2017,7,2.75%
2018,1,4.75%
2018,7,0.80%
