Year,Portfolio 1 Balance
200801,"$10,293"
200807,"$10,315"
200901,"$11,135"
200907,"$10,981"
201001,"$11,277"
201007,"$11,852"
201101,"$11,860"
201107,"$12,387"
201201,"$12,848"
201207,"$13,018"
201301,"$12,953"
201307,"$12,806"
201401,"$12,928"
201407,"$12,954"
201501,"$13,473"
201507,"$13,403"
201601,"$13,672"
201607,"$13,988"
201701,"$13,588"
201707,"$13,797"
201801,"$13,546"
201807,"$13,535"
