Start Date,01/01/2008
End Date,07/31/2018
Initial Balance,"$10,000"
Ticker,Name
VWO,Vanguard FTSE Emerging Markets ETF
Metric,Portfolio 1
Start Balance,"$10,000"
End Balance,"$11,022"
End Balance (inflation adjusted),"$9,187"
CAGR,0.92%
CAGR (inflation adjusted),-0.80%
Stdev,22.83%
Best Year,76.28%
Worst Year,-52.49%
Max. Drawdown,-57.75%
