Year,Month,Portfolio 1 Return
2008,1,2.10%
2008,7,1.46%
2009,1,-6.71%
2009,7,3.13%
2010,1,-1.46%
2010,7,6.10%
2011,1,0.82%
2011,7,1.65%
2012,1,2.74%
2012,7,1.31%
2013,1,-0.93%
2013,7,2.39%
2014,1,0.45%
2014,7,-1.37%
2015,1,-1.57%
2015,7,-0.21%
2016,1,0.29%
2016,7,1.12%
2017,1,1.46%
2017,7,2.93%
2018,1,2.92%
2018,7,0.29%
