Year,Month,Portfolio 1 Return
2008,1,-8.92%
2008,7,-7.01%
2009,1,-10.28%
2009,7,12.29%
2010,1,-6.94%
2010,7,10.80%
2011,1,-0.32%
2011,7,-0.13%
2012,1,8.88%
2012,7,-0.49%
2013,1,-1.62%
2013,7,2.48%
2014,1,-5.89%
2014,7,-0.32%
2015,1,0.79%
2015,7,-6.78%
2016,1,-3.45%
2016,7,6.98%
2017,1,7.32%
2017,7,2.35%
2018,1,6.71%
2018,7,5.00%
