Year,Portfolio 1 Balance
200801,"$9,098"
200807,"$8,550"
200901,"$4,328"
200907,"$7,114"
201001,"$7,812"
201007,"$8,553"
201101,"$9,662"
201107,"$10,042"
201201,"$9,006"
201207,"$8,512"
201301,"$9,697"
201307,"$8,630"
201401,"$8,437"
201407,"$9,913"
201501,"$9,190"
201507,"$8,915"
201601,"$7,307"
201607,"$8,852"
201701,"$9,199"
201707,"$10,540"
201801,"$12,416"
201807,"$11,022"
