Year,Portfolio 1 Balance
200801,"$9,102"
200807,"$8,516"
200901,"$4,764"
200907,"$6,464"
201001,"$6,806"
201007,"$6,873"
201101,"$7,984"
201107,"$8,011"
201201,"$7,175"
201207,"$7,057"
201301,"$8,625"
201307,"$8,992"
201401,"$9,817"
201407,"$10,354"
201501,"$9,606"
201507,"$10,322"
201601,"$8,851"
201607,"$9,307"
201701,"$9,614"
201707,"$11,260"
201801,"$12,524"
201807,"$11,918"
