Start Date,01/01/2008,,,,,,,
End Date,07/31/2018,,,,,,,
Initial Balance,"$10,000",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Portfolio 1,,,,,,,,
,,,,,,,,
Ticker,Name,,,,,,,
VPL,Vanguard FTSE Pacific ETF,,,,,,,
,,,,,,,,
Portfolio Performance,,,,,,,,
,,,,,,,,
Metric,Portfolio 1,,,,,,,
Start Balance,"$10,000",,,,,,,
End Balance,"$13,916",,,,,,,
End Balance (inflation adjusted),"$11,600",,,,,,,
CAGR,3.17%,,,,,,,
CAGR (inflation adjusted),1.41%,,,,,,,
Stdev,17.05%,,,,,,,
Best Year,28.86%,,,,,,,
Worst Year,-34.02%,,,,,,,
Max. Drawdown,-48.60%,,,,,,,
Sharpe Ratio,0.25,,,,,,,
Sortino Ratio,0.35,,,,,,,
US Stock Market Correlation,0.84,,,,,,,
2015,3,0.59%,"$11,108",0.59%,,,,
2015,4,3.46%,"$11,492",3.46%,,,,
2015,5,-0.58%,"$11,425",-0.58%,,,,
2015,6,-2.47%,"$11,143",-2.47%,,,,
2015,7,-0.54%,"$11,083",-0.54%,,,,
2015,8,-7.68%,"$10,232",-7.68%,,,,
2015,9,-3.85%,"$9,838",-3.85%,,,,
2015,10,7.56%,"$10,582",7.56%,,,,
2015,11,0.03%,"$10,585",0.03%,,,,
2015,12,-0.81%,"$10,499",-0.81%,,,,
2016,1,-5.96%,"$9,873",-5.96%,,,,
2016,2,-3.51%,"$9,527",-3.51%,,,,
2016,3,7.72%,"$10,262",7.72%,,,,
2016,4,0.47%,"$10,310",0.47%,,,,
2016,5,1.06%,"$10,420",1.06%,,,,
2016,6,0.14%,"$10,434",0.14%,,,,
2016,7,5.76%,"$11,035",5.76%,,,,
2016,8,0.19%,"$11,056",0.19%,,,,
2016,9,2.97%,"$11,384",2.97%,,,,
2016,10,-0.92%,"$11,279",-0.92%,,,,
2016,11,-1.37%,"$11,124",-1.37%,,,,
2016,12,-0.57%,"$11,061",-0.57%,,,,
2017,1,4.92%,"$11,606",4.92%,,,,
2017,2,2.15%,"$11,855",2.15%,,,,
2017,3,1.79%,"$12,068",1.79%,,,,
2017,4,0.76%,"$12,159",0.76%,,,,
2017,5,2.21%,"$12,428",2.21%,,,,
2017,6,1.72%,"$12,642",1.72%,,,,
2017,7,2.75%,"$12,990",2.75%,,,,
2017,8,0.16%,"$13,011",0.16%,,,,
2017,9,1.14%,"$13,159",1.14%,,,,
2017,10,4.33%,"$13,728",4.33%,,,,
2017,11,2.23%,"$14,035",2.23%,,,,
2017,12,1.56%,"$14,254",1.56%,,,,
2018,1,4.75%,"$14,930",4.75%,,,,
2018,2,-4.01%,"$14,332",-4.01%,,,,
2018,3,-0.32%,"$14,286",-0.32%,,,,
2018,4,0.34%,"$14,335",0.34%,,,,
2018,5,-1.11%,"$14,177",-1.11%,,,,
2018,6,-2.61%,"$13,806",-2.61%,,,,
2018,7,0.80%,"$13,916",0.80%,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
