Year,Month,Portfolio 1 Return
2008,1,-9.02%
2008,7,-4.72%
2009,1,-8.91%
2009,7,10.91%
2010,1,-6.73%
2010,7,10.21%
2011,1,-3.45%
2011,7,-0.62%
2012,1,10.78%
2012,7,0.20%
2013,1,0.07%
2013,7,0.70%
2014,1,-8.43%
2014,7,1.37%
2015,1,-0.20%
2015,7,-6.26%
2016,1,-5.75%
2016,7,5.14%
2017,1,5.76%
2017,7,5.34%
2018,1,8.56%
2018,7,3.98%
