Year,Portfolio 1 Balance
200801,"$10,210"
200807,"$10,521"
200901,"$9,720"
200907,"$10,846"
201001,"$10,825"
201007,"$11,056"
201101,"$11,499"
201107,"$12,274"
201201,"$12,181"
201207,"$12,170"
201301,"$12,433"
201307,"$11,948"
201401,"$12,155"
201407,"$12,635"
201501,"$11,610"
201507,"$11,066"
201601,"$11,038"
201607,"$12,319"
201701,"$11,239"
201707,"$12,125"
201801,"$12,533"
201807,"$11,967"
